t (s),V (mV),,t (s),V (mV),t (s),V (mV)
252,8.0036,,252,2.07989144,252,3.52741192
253,7.9884,,253,2.077990489,253,3.525510969
254,7.9753,,254,2.076349266,254,3.523869746
254.999,7.9613,,254.999,2.074592303,254.999,3.522112783
256,7.9479,,256,2.072907743,256,3.520428223
257,7.9323,,257,2.070943031,257,3.518463511
257.999,7.9187,,257.999,2.069227051,257.999,3.516747531
259,7.9051,,259,2.067508121,259,3.515028601
260,7.8909,,260,2.065710197,260,3.513230677
260.999,7.8769,,260.999,2.063934425,260.999,3.511454905
262,7.8632,,262,2.062193648,262,3.509714128
263,7.8496,,263,2.060462575,263,3.507983055
263.999,7.8351,,263.999,2.058613639,263.999,3.506134119
265,7.8202,,265,2.05671013,265,3.50423061
266,7.8067,,266,2.054982339,266,3.502502819
267,7.7911,,267,2.052982057,267,3.500502537
268,7.7768,,268,2.051144943,268,3.498665423
269,7.7639,,269,2.049484785,269,3.497005265
270,7.7478,,270,2.047408932,270,3.494929412
271,7.7333,,271,2.04553568,271,3.49305616
272,7.7197,,272,2.043775503,272,3.491295983
272.999,7.7052,,272.999,2.041895426,272.999,3.489415906
274,7.6906,,274,2.039998804,274,3.487519284
275,7.6766,,275,2.038176741,275,3.485697221
276,7.6627,,276,2.036364402,276,3.483884882
276.999,7.6489,,276.999,2.034561847,276.999,3.482082327
278,7.636,,278,2.032873906,278,3.480394386
279,7.6223,,279,2.031078161,279,3.478598641
280,7.6096,,280,2.029410608,280,3.476931088
281,7.5963,,281,2.027661287,281,3.475181767
282,7.5827,,282,2.025869337,282,3.473389817
283,7.5699,,283,2.024179857,283,3.471700337
283.999,7.5567,,283.999,2.022434587,283.999,3.469955067
285,7.5427,,285,2.020580208,285,3.468100688
286,7.5295,,286,2.018828639,286,3.466349119
287,7.5168,,287,2.017140515,287,3.464660995
287.999,7.504,,287.999,2.015436212,287.999,3.462956692
289,7.4902,,289,2.013595499,289,3.461115979
290,7.4769,,290,2.011818268,290,3.459338748
291,7.4635,,291,2.010024473,291,3.457544953
292,7.4489,,292,2.00806637,292,3.45558685
293,7.4355,,293,2.006265827,293,3.453786307
294,7.4219,,294,2.004435089,294,3.451955569
295,7.407,,295,2.002425499,295,3.449945979
296,7.3948,,296,2.00077705,296,3.44829753
297,7.3809,,297,1.998895582,297,3.446416062
298,7.3667,,298,1.996969845,298,3.444490325
299,7.3537,,299,1.995203588,299,3.442724068
299.999,7.34,,299.999,1.993338843,299.999,3.440859323
301,7.3259,,301,1.991416014,301,3.438936494
302,7.3132,,302,1.989680934,302,3.437201414
303,7.3005,,303,1.987942839,303,3.435463319
303.999,7.2869,,303.999,1.986078216,303.999,3.433598696
